Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.7886904761904762,0.7533333333333333,0.7687074829931972,0.7609427609427609,0.8778389662743404
Gradient Boosting,0.8065476190476191,0.7847222222222222,0.7687074829931972,0.7766323024054983,0.8756433790447397
Random Forest,0.8005952380952381,0.7941176470588235,0.7346938775510204,0.7632508833922261,0.8734657884317747
LightGBM,0.8005952380952381,0.7816901408450704,0.7551020408163265,0.7681660899653979,0.8726199474498794
Extra Trees,0.7827380952380952,0.7803030303030303,0.7006802721088435,0.7383512544802867,0.8648993989130043
